timestamp,AAPL,TSLA,INTC,NVAX,FIVN,EQIX,MIRM
08:06:00,0,0,0,0,0,0,0
08:07:00,0,0,0,0,0,0,0
08:08:00,0,0,0,0,0,0,0
08:09:00,0,0,0,0,0,0,0
08:10:00,0,0,0,0,0,0,0
08:11:00,0,0,0,0,0,0,0
08:12:00,0,0,0,0,0,0,0
08:13:00,0,0,0,0,0,0,0
08:14:00,0,0,0,0,0,0,0
08:15:00,0,0,0,0,0,0,0
08:16:00,0,0,0,0,0,0,0
08:17:00,0,0,0,0,0,0,0
08:18:00,0,0,0,0,0,0,0
08:19:00,0,0,0,0,0,0,0
08:20:00,0,0,0,0,0,0,0
08:21:00,0,0,0,0,0,0,0
08:22:00,0,0,0,0,0,0,0
08:23:00,0,0,0,0,0,0,0
08:24:00,0,0,0,0,0,0,0
08:25:00,0,0,0,0,0,0,0
08:26:00,0,0,0,0,0,0,0
08:27:00,0,0,0,0,0,0,0
08:28:00,0,0,0,0,0,0,0
08:29:00,0,0,0,0,0,0,0
08:30:00,0,0,0,0,0,0,0
08:31:00,0,0,0,0,0,0,0
08:32:00,0,0,0,0,0,0,0
08:33:00,0,0,0,0,0,0,0
08:34:00,0,0,0,0,0,0,0
08:35:00,0,0,0,0,0,0,0
08:36:00,0,0,0,0,0,0,0
08:37:00,0,0,0,0,0,0,0
08:38:00,0,0,0,0,0,0,0
08:39:00,0,0,0,0,0,0,0
08:40:00,0,0,0,0,0,0,0
08:41:00,0,0,0,0,0,0,0
08:42:00,0,0,0,0,0,0,0
08:43:00,0,0,0,0,0,0,0
08:44:00,0,0,0,0,0,0,0
08:45:00,0,0,0,0,0,0,0
08:46:00,0,0,0,0,0,0,0
08:47:00,0,0,0,0,0,0,0
08:48:00,0,0,0,0,0,0,0
08:49:00,0,0,0,0,0,0,0
08:50:00,0,0,0,0,0,0,0
08:51:00,0,0,0,0,0,0,0
08:52:00,0,0,0,0,0,0,0
08:53:00,0,0,0,0,0,0,0
08:54:00,0,0,0,0,0,0,0
08:55:00,0,0,0,0,0,0,0
08:56:00,0,0,0,0,0,0,0
08:57:00,0,0,0,0,0,0,0
08:58:00,0,0,0,0,0,0,0
08:59:00,0,0,0,0,0,0,0
09:00:00,0,0,0,0,0,0,0
09:01:00,0,0,0,0,0,0,0
09:02:00,0,0,0,0,0,0,0
09:03:00,0,0,0,0,0,0,0
09:04:00,0,0,0,0,0,0,0
09:05:00,0,0,0,0,0,0,0
09:06:00,0,0,0,0,0,0,0
09:07:00,0,0,0,0,0,0,0
09:08:00,0,0,0,0,0,0,0
09:09:00,0,0,0,0,0,0,0
09:10:00,0,0,0,0,0,0,0
09:11:00,0,0,0,0,0,0,0
09:12:00,0,0,0,0,0,0,0
09:13:00,0,0,0,0,0,0,0
09:14:00,0,0,0,0,0,0,0
09:15:00,0,0,0,0,0,0,0
09:16:00,0,0,0,0,0,0,0
09:17:00,0,0,0,0,0,0,0
09:18:00,0,0,0,0,0,0,0
09:19:00,0,0,0,0,0,0,0
09:20:00,0,0,0,0,0,0,0
09:21:00,0,0,0,0,0,0,0
09:22:00,0,0,0,0,0,0,0
09:23:00,0,0,0,0,0,0,0
09:24:00,0,0,0,0,0,0,0
09:25:00,0,0,0,0,0,0,0
09:26:00,0,0,0,0,0,0,0
09:27:00,0,0,0,0,0,0,0
09:28:00,0,0,0,0,0,0,0
09:29:00,0,0,0,0,0,0,0
09:30:00,0,0,0,0,0,0,0
09:31:00,0,0,0,0,0,0,0
09:32:00,0,0,0,0,0,0,0
09:33:00,0,0,0,0,0,0,0
09:34:00,0,0,0,0,0,0,0
09:35:00,0,0,0,0,0,0,0
09:36:00,0,0,0,0,0,0,0
09:37:00,0,0,0,0,0,0,0
09:38:00,0,0,0,0,0,0,0
09:39:00,0,0,0,0,0,0,0
09:40:00,0,0,0,0,0,0,0
09:41:00,0,0,0,0,0,0,0
09:42:00,0,0,0,0,0,0,0
09:43:00,0,0,0,0,0,0,0
09:44:00,0,0,0,0,0,0,0
09:45:00,0,0,0,0,0,0,0
09:46:00,0,0,0,0,0,0,0
09:47:00,0,0,0,0,0,0,0
09:48:00,0,0,0,0,0,0,0
09:49:00,0,0,0,0,0,0,0
09:50:00,0,0,0,0,0,0,0
09:51:00,0,0,0,0,0,0,0
09:52:00,0,0,0,0,0,0,0
09:53:00,0,0,0,0,0,0,0
09:54:00,0,0,0,0,0,0,0
09:55:00,0,0,0,0,0,0,0
09:56:00,0,0,0,0,0,0,0
09:57:00,0,0,0,0,0,0,0
09:58:00,0,0,0,0,0,0,0
09:59:00,0,0,0,0,0,0,0
10:00:00,0,0,0,0,0,0,0
10:01:00,0,0,0,0,0,0,0
10:02:00,0,0,0,0,0,0,0
10:03:00,0,0,0,0,0,0,0
10:04:00,0,0,0,0,0,0,0
10:05:00,0,0,0,0,0,0,0
10:06:00,0,0,0,0,0,0,0
10:07:00,0,0,0,0,0,0,0
10:08:00,0,0,0,0,0,0,0
10:09:00,0,0,0,0,0,0,0
10:10:00,0,0,0,0,0,0,0
10:11:00,0,0,0,0,0,0,0
10:12:00,0,0,0,0,0,0,0
10:13:00,0,0,0,0,0,0,0
10:14:00,0,0,0,0,0,0,0
10:15:00,0,0,0,0,0,0,0
10:16:00,0,0,0,0,0,0,0
10:17:00,0,0,0,0,0,0,0
10:18:00,0,0,0,0,0,0,0
10:19:00,0,0,0,0,0,0,0
10:20:00,0,0,0,0,0,0,0
10:21:00,0,0,0,0,0,0,0
10:22:00,0,0,0,0,0,0,0
10:23:00,0,0,0,0,0,0,0
10:24:00,0,0,0,0,0,0,0
10:25:00,0,0,0,0,0,0,0
10:26:00,0,0,0,0,0,0,0
10:27:00,0,0,0,0,0,0,0
10:28:00,0,0,0,0,0,0,0
10:29:00,0,0,0,0,0,0,0
10:30:00,0,0,0,0,0,0,0
10:31:00,0,0,0,0,0,0,0
10:32:00,0,0,0,0,0,0,0
10:33:00,0,0,0,0,0,0,0
10:34:00,0,0,0,0,0,0,0
10:35:00,0,0,0,0,0,0,0
10:36:00,0,0,0,0,0,0,0
10:37:00,0,0,0,0,0,0,0
10:38:00,0,0,0,0,0,0,0
10:39:00,0,0,0,0,0,0,0
10:40:00,0,0,0,0,0,0,0
10:41:00,0,0,0,0,0,0,0
10:42:00,0,0,0,0,0,0,0
10:43:00,0,0,0,0,0,0,0
10:44:00,0,0,0,0,0,0,0
10:45:00,0,0,0,0,0,0,0
10:46:00,0,0,0,0,0,0,0
10:47:00,0,0,0,0,0,0,0
10:48:00,0,0,0,0,0,0,0
10:49:00,0,0,0,0,0,0,0
10:50:00,0,0,0,0,0,0,0
10:51:00,0,0,0,0,0,0,0
10:52:00,0,0,0,0,0,0,0
10:53:00,0,0,0,0,0,0,0
10:54:00,0,0,0,0,0,0,0
10:55:00,0,0,0,0,0,0,0
10:56:00,0,0,0,0,0,0,0
10:57:00,0,0,0,0,0,0,0
10:58:00,0,0,0,0,0,0,0
10:59:00,0,0,0,0,0,0,0
11:00:00,0,0,0,0,0,0,0
11:01:00,0,0,0,0,0,0,0
11:02:00,0,0,0,0,0,0,0
11:03:00,0,0,0,0,0,0,0
11:04:00,0,0,0,0,0,0,0
11:05:00,0,0,0,0,0,0,0
11:06:00,0,0,0,0,0,0,0
11:07:00,0,0,0,0,0,0,0
11:08:00,0,0,0,0,0,0,0
11:09:00,0,0,0,0,0,0,0
11:10:00,0,0,0,0,0,0,0
11:11:00,0,0,0,0,0,0,0
11:12:00,0,0,0,0,0,0,0
11:13:00,0,0,0,0,0,0,0
11:14:00,0,0,0,0,0,0,0
11:15:00,0,0,0,0,0,0,0
11:16:00,0,0,0,0,0,0,0
11:17:00,0,0,0,0,0,0,0
11:18:00,0,0,0,0,0,0,0
11:19:00,0,0,0,0,0,0,0
11:20:00,0,0,0,0,0,0,0
11:21:00,0,0,0,0,0,0,0
